"CountryName","CountryCode","Date","ConfirmedCases","ConfirmedDeaths","StringencyIndex","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","E1_Income.support","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines"
"Netherlands","NLD",2020-04-19,31589,3601,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-20,32655,3684,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-21,33405,3751,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-22,34134,3916,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-23,34842,4054,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-24,35729,4177,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-25,36535,4289,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-26,37190,4409,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-27,37845,4475,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-28,38245,4518,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-29,38416,4566,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-30,38802,4711,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-01,39316,4795,79.63,3,3,2,3,1,2,1,3,2,1,120974758,0,2,1,1,0,0
"Netherlands","NLD",2020-05-02,39791,4893,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-03,40236,4987,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-04,40571,5056,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-05,40770,5082,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-06,41087,5168,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-07,41319,5204,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-08,41774,5288,79.63,3,3,2,3,1,2,1,3,2,1,823203672,0,2,1,1,0,0
"Netherlands","NLD",2020-05-09,42093,5359,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-10,42382,5422,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-11,42627,5440,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-12,42788,5456,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-13,42984,5510,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-14,43211,5562,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-15,43481,5590,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-16,43681,5643,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-17,43870,5670,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-18,43995,5680,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-19,44141,5694,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-20,44249,5715,68.52,2,2,2,3,1,1,1,3,2,1,14272921000,0,2,1,1,0,0
"Netherlands","NLD",2020-05-21,44447,5748,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-22,44700,5775,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-23,44888,5788,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-24,45064,5811,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-25,45236,5822,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-26,45445,5830,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-27,45578,5856,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-28,45768,5871,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-29,45950,5903,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-30,46126,5931,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-05-31,46257,5951,68.52,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-06-01,46442,5956,62.96,2,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-02,46545,5962,62.96,2,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-03,46647,5967,62.96,2,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-04,46733,5977,62.96,2,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-05,46942,5990,62.96,2,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-06,47152,6005,62.96,2,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-07,47335,6011,62.96,2,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-08,47574,6013,62.96,2,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-09,47739,6016,62.96,2,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-10,47903,6031,62.96,2,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-11,48087,6042,62.96,2,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-12,48251,6044,62.96,2,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-13,48461,6053,62.96,2,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-14,48640,6057,62.96,2,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-15,48783,6059,59.26,1,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-16,48948,6065,59.26,1,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-17,49087,6070,59.26,1,2,2,3,0,1,1,3,2,1,2195209,0,2,2,2,0,0
"Netherlands","NLD",2020-06-18,49204,6074,59.26,1,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-19,49319,6078,59.26,1,2,2,3,0,1,1,3,2,1,1454342,0,2,2,2,0,0
"Netherlands","NLD",2020-06-20,49426,6081,59.26,1,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
"Netherlands","NLD",2020-06-21,49502,6089,59.26,1,2,2,3,0,1,1,3,2,1,0,0,2,2,2,0,0
